DATE,CLOSE
4/19/2021,3518.7611
4/20/2021,3553.6653
4/21/2021,3546.494
4/22/2021,3587.955
4/23/2021,3590.3425
4/24/2021,3622.8831
4/25/2021,3668.0919
4/26/2021,3674.7152
4/27/2021,3646.1666
4/28/2021,3668.8279
4/29/2021,3666.7977
4/30/2021,3650.8463
5/1/2021,3619.9841
5/2/2021,3659.6795
5/3/2021,3660.0967
5/4/2021,3655.9293
5/5/2021,3653.6868
5/6/2021,3670.8086
5/7/2021,3658.8236
5/8/2021,3686.9205
5/9/2021,3703.094
5/10/2021,3663.5575
5/11/2021,3667.1807
5/12/2021,3729.7466
5/13/2021,3747.8843
5/14/2021,3728.5976
5/15/2021,3743.4686
5/16/2021,3719.559
5/17/2021,3705.3884
5/18/2021,3712.1947
5/19/2021,3721.8914
5/20/2021,3737.8732
5/21/2021,3770.3828
5/22/2021,3760.8525
5/23/2021,3727.8264
5/24/2021,3707.5796
5/25/2021,3726.7948
5/26/2021,3732.2129
5/27/2021,3731.044
5/28/2021,3715.9208
5/29/2021,3647.3503
5/30/2021,3694.6831
5/31/2021,3706.0566
6/1/2021,3701.4207
6/2/2021,3721.277
6/3/2021,3724.6748
6/4/2021,3740.9941
6/5/2021,3752.298
6/6/2021,3756.0884
6/7/2021,3734.6458
6/8/2021,3795.7544
6/9/2021,3842.7119
6/10/2021,3834.5376
6/11/2021,3834.3005
6/12/2021,3822.0928
6/13/2021,3830.5383
6/14/2021,3845.6163
6/15/2021,3857.0464
6/16/2021,3849.4499
6/17/2021,3829.8713
6/18/2021,3825.9895
6/19/2021,3825.6453
6/20/2021,3837.9341
6/21/2021,3842.6061
6/22/2021,3829.9554
6/23/2021,3831.2965
6/24/2021,3843.1428
6/25/2021,3832.1161
6/26/2021,3842.4353
6/27/2021,3837.8176
6/28/2021,3837.7304
6/29/2021,3817.7915
6/30/2021,3820.7816
7/1/2021,3821.2
7/2/2021,3822.5386
7/3/2021,3836.5013
7/4/2021,3882.2076
7/5/2021,3889.8637
7/6/2021,3902.6868
7/7/2021,3912.9536
7/8/2021,3921.0017
7/9/2021,3913.4462
7/10/2021,3913.0688
7/11/2021,3944.1626
7/12/2021,3931.2495
7/13/2021,3926.852
7/14/2021,3930.7981
7/15/2021,3959.3953
7/16/2021,3976.949
7/17/2021,3993.5752
7/18/2021,4021.9676
7/19/2021,4009.7218
7/20/2021,4006.7179
7/21/2021,3996.6221
7/22/2021,3997.1343
7/23/2021,3992.6979
7/24/2021,4020.8896
7/25/2021,4054.2465
7/26/2021,4048.0057
7/27/2021,4075.8998
7/28/2021,4111.9112
7/29/2021,4128.0733
7/30/2021,4099.351
7/31/2021,4073.6696
8/1/2021,4105.0122
8/2/2021,4120.8508
8/3/2021,4143.8334
8/4/2021,4217.7015
8/5/2021,4227.5666
8/6/2021,4102.3966
8/7/2021,4104.2034
8/8/2021,4049.9475
8/9/2021,4055.8235
8/10/2021,4053.7529
8/11/2021,4006.0993
8/12/2021,3998.1365
8/13/2021,4018.8571
8/14/2021,4040.1704
8/15/2021,4015.8211
8/16/2021,3971.0569
8/17/2021,4003.3792
8/18/2021,4069.4997
8/19/2021,4016.0163
8/20/2021,4050.0927
8/21/2021,4026.1516
8/22/2021,3980.8558
8/23/2021,3985.2914
8/24/2021,4035.3294
8/25/2021,4030.4898
8/26/2021,4067.8485
8/27/2021,4054.5984
8/28/2021,4041.5401
8/29/2021,4053.6224
8/30/2021,3991.2075
8/31/2021,4018.8974
9/1/2021,4030.8549
9/2/2021,4087.4012
9/3/2021,4111.3925
9/4/2021,4128.8119
9/5/2021,4138.7505
9/6/2021,4160.1595
9/7/2021,4189.2977
9/8/2021,4207.8132
9/9/2021,4205.5863
9/10/2021,4225.001
9/11/2021,4225.2393
9/12/2021,4258.473
9/13/2021,4248.1164
9/14/2021,4271.4168
9/15/2021,4285.395
9/16/2021,4336.5974
9/17/2021,4382.6129
9/18/2021,4389.8853
9/19/2021,4365.0794
9/20/2021,4381.2996
9/21/2021,4302.0181
9/22/2021,4256.1021
9/23/2021,4275.8986
9/24/2021,4245.8978
9/25/2021,4271.2326
9/26/2021,4274.1464
9/27/2021,4148.8856
9/28/2021,4050.4972
9/29/2021,4012.0472
9/30/2021,3840.6527
10/1/2021,3890.1046
10/2/2021,3935.6324
10/3/2021,3966.9614
10/4/2021,4052.7332
10/5/2021,4071.0889
10/6/2021,4118.4186
10/7/2021,4058.9806
10/8/2021,4023.6415
10/9/2021,4049.0863
10/10/2021,4016.461
10/11/2021,4018.097
10/12/2021,4066.5647
10/13/2021,4036.6536
10/14/2021,4077.6001
10/15/2021,4108.8652
10/16/2021,4127.6662
10/17/2021,4091.2533
10/18/2021,4073.3447
10/19/2021,4096.1627
10/20/2021,4056.4226
10/21/2021,4074.2479
10/22/2021,4077.7041
10/23/2021,4061.0502
10/24/2021,4020.349
10/25/2021,3904.9355
10/26/2021,3879.893
10/27/2021,3913.2689
10/28/2021,3842.7155
10/29/2021,3894.0498
10/30/2021,3898.4977
